x,y,fid,id,tsevent_id,year,month,day,date_strin,arr_day,arr_hour,arr_min,trav_hours,trav_mins,period,first_moti,latitude,longitude,location,location_n,area,country,region_cod,runup_ht,runup_ht_r,runup_hori,type_measu,type_mea_1,damage_mil,damage_amo,damage_des,deaths,deaths_amo,deaths_des,injuries,injuries_a,injuries_d,houses_des,houses_amo,houses_d_1,houses_dam,houses_d_2,houses_d_3,comments,doubtful,dist_from,event_regi,event_re_1,pred_trav,pred_trav1,url,tsevent_ur,hour,minute,second,region,cause_code,cause,event_vali,event_va_1,eq_mag_unk,eq_mag_mb,eq_mag_ms,eq_mag_mw,eq_mag_ml,eq_mag_mfa,eq_magnitu,eq_magni_1,eq_depth,max_event,ts_mt_abe,ts_mt_ii,ts_intensi,missing,missing_am,missing_de,warning_st,num_runup,id_runup,has_ref,id_ref,slides_url,num_slides,map_slide,map_eq_id,damage_m_1,damage_a_1,damage_tot,houses_d_4,houses_a_1,houses_tot,deaths_tot,deaths_a_1,deaths_t_1,injuries_t,injuries_1,injuries_2,missing_to,missing_1,missing_2,map_vol_id,houses_d_5,houses_d_6,houses_d_7,num_deposi
-79.866,-6.927,6006,4123,1907,1960,11,20,1960/11/20,0,0,0,0,0,0,,-6.927,-79.866,POINT(-79.866 -6.927),PUERTO ETEN,,PERU,89,9,4,0,0,,0,1,Limited (<$1 million),3,1,Few (~1 to 50 people),0,0,,0,0,,0,0,,"Several hours later, a tsunami fell on the coast of Lambayeque department. The first wave about 9 m high did material damage at Puerto Eten and Pimentel ports and in Santa Rosa and San Jose Bays; three persons died. The first was followed by two others o",,93,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=4123","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1907",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-85.802,11.159,6007,6036,2213,1992,9,2,1992/09/02,0,0,0,0,0,0,,11.159,-85.802,POINT(-85.802 11.159),PLAYAS DEL COCO,,COSTA RICA,88,4.5,3,0,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,,,180,88,West Coast of North and Central America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=6036","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2213",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-85.77,11.12,6008,6037,2213,1992,9,2,1992/09/02,0,0,0,0,0,0,,11.12,-85.77,POINT(-85.77 11.12),EL OSTIONAL,,NICARAGUA,88,2.5,3,0,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,,,185,88,West Coast of North and Central America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=6037","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2213",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-79.967,-6.769,6009,4124,1907,1960,11,20,1960/11/20,0,0,0,0,0,0,,-6.769,-79.967,POINT(-79.967 -6.769),SAN JOSE,,PERU,89,0,0,0,0,,0,1,Limited (<$1 million),0,0,,0,0,,0,0,,0,0,,"Several hours later, a tsunami fell on the coast of Lambayeque department. The first wave about 9 m high did material damage at Puerto Eten and Pimentel ports and in Santa Rosa and San Jose Bays; three persons died. The first was followed by two others o",,81,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=4124","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1907",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-81.283,-4.583,6010,2998,1770,1946,12,20,1946/12/20,21,16,31,21,12,11,,-4.583,-81.283,POINT(-81.283 -4.583),TALARA,,PERU,89,0.05,1,0,2,Tide-gauge measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"Maximal range of oscillations in level 10 cm. (reference #414)",,15062,85,Japan,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=2998","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1770",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-157.793,21.437,8002,27808,2000,1968,5,16,1968/05/16,0,0,0,0,0,0,,21.437,-157.793,POINT(-157.793 21.437),"MOKUOLOE, OAHU, HI",HI,USA,80,0.05,1,0,2,Tide-gauge measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"The maximal range of oscillations in level was 9 cm (Reference #414).",,5896,85,Japan,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=27808","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2000",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-77.1,-12.0,6011,4126,1907,1960,11,20,1960/11/20,0,0,0,0,0,0,,-12,-77.1,POINT(-77.1 -12),SANTA ROSA,,PERU,89,0,0,0,0,,0,1,Limited (<$1 million),0,0,,0,0,,0,0,,0,0,,"Several hours later, a tsunami fell on the coast of Lambayeque department. The first wave about 9 m high did material damage at Puerto Eten and Pimentel ports and in Santa Rosa and San Jose Bays; three persons died. The first was followed by two others o",,700,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=4126","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1907",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-82.867,8.267,6012,4531,1954,1964,3,28,1964/03/28,28,16,24,12,48,0,,8.267,-82.867,POINT(-82.867 8.267),PUERTO ARMUELLES,,PANAMA,88,0.15,1,0,2,Tide-gauge measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"<P><blockquote><i>Reference #1766:</blockquote></i>
<P>Maximum rise or fall height: 0.09 m.",,7867,87,Alaska (including Aleutian Islands),0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=4531","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1954",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-170.689,-14.2766,6013,6250,2240,1995,4,7,1995/04/07,0,0,0,0,0,0,,-14.2766,-170.689,POINT(-170.689 -14.2766),"PAGO PAGO, AMERICAN SAMOA",AS,USA TERRITORY,81,0.09,1,0,2,Tide-gauge measurement,0,0,,0,0,,0,0,,0,0,,0,0,,,,322,81,"E Coast Australia, New Zealand, South Pacific Is.",0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=6250","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2240",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-79.95,8.4833,6014,7422,1331,1906,1,31,1906/01/31,0,0,0,0,0,0,,8.4833,-79.95,POINT(-79.95 8.4833),SAN CARLOS,,PANAMA,88,0,0,0,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"Latitude and longitude are estimates.
<P>At San Carlos the sea retreated, exposing a large beach (Reference #415).",,850,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=7422","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1331",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-169.921,-19.053,6015,6251,2240,1995,4,7,1995/04/07,0,0,0,0,0,0,,-19.053,-169.921,POINT(-169.921 -19.053),NIUE,,NIUE,81,0.03,1,0,2,Tide-gauge measurement,0,0,,0,0,,0,0,,0,0,,0,0,,,,575,81,"E Coast Australia, New Zealand, South Pacific Is.",0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=6251","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2240",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-78.92,-8.23,6016,1255,1075,1877,5,10,1877/05/10,10,4,0,3,0,0,,-8.23,-78.92,POINT(-78.92 -8.23),SALAVERRY,,PERU,89,1,2,0,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"At Salaverry at 23:00, the sea receded; the ebb and flood tide lasted 15 minutes. The oscillations in level continued until 2:00 on the 10th. The water rose 75 cm above the mean high tide mark. The first wave was the highest. (reference #415)",,1730,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=1255","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1075",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-170.689,-14.2766,6017,5350,2058,1973,1,30,1973/01/30,0,0,0,0,0,0,,-14.2766,-170.689,POINT(-170.689 -14.2766),"PAGO PAGO, AMERICAN SAMOA",AS,USA TERRITORY,81,0.21,1,0,2,Tide-gauge measurement,0,0,,0,0,,0,0,,0,0,,0,0,,Lander et al. (1989) gives the amplitude as 0.11 m.,,8263,88,West Coast of North and Central America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=5350","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2058",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-170.689,-14.2766,6018,5364,2060,1973,6,17,1973/06/17,0,0,0,0,0,0,,-14.2766,-170.689,POINT(-170.689 -14.2766),"PAGO PAGO, AMERICAN SAMOA",AS,USA TERRITORY,81,0.05,1,0,2,Tide-gauge measurement,0,0,,0,0,,0,0,,0,0,,0,0,,,,7776,85,Japan,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=5364","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2060",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-77.25,-11.617,6019,1256,1075,1877,5,10,1877/05/10,0,0,0,0,0,0,,-11.617,-77.25,POINT(-77.25 -11.617),SALINAS,,PERU,89,6,4,0,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"At Salinas, the sea rose 4.5-6.0 m (15-20 feet) at night. The shore flooded. (reference #415)",,1313,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=1256","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1075",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-82.167,9.367,6020,5983,2202,1991,4,22,1991/04/22,0,0,0,0,0,0,F,9.367,-82.167,POINT(-82.167 9.367),ISLA BASTIMENTOS,,PANAMA,74,3,3,200,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"Arce et al. (Reference #1540) reported a tsunami ""with wave heights of 2 to 3 m was observed along the coaast from Cahuita, Costa Rica, to Isla Bastimentos, Panama. This wave flooded from 10 to 200 m inland."" The ocean withdrew from the reef 10 to 15 min",,105,74,Caribbean Sea,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=5983","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2202",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-157.867,21.3067,8003,2411,1722,1938,11,10,1938/11/10,11,1,20,5,0,30,R,21.3067,-157.867,POINT(-157.867 21.3067),"HONOLULU, OAHU, HI",HI,USA,80,0.1,1,0,2,Tide-gauge measurement,0,0,,0,0,,0,0,,0,0,,0,0,,,,3801,87,Alaska (including Aleutian Islands),0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=2411","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1722",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-78.55,-9.22,6021,1257,1075,1877,5,10,1877/05/10,0,0,0,0,0,0,,-9.22,-78.55,POINT(-78.55 -9.22),SAMANCO,,PERU,89,3.5,3,30,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"At Samanco, on the night of the 9th-l0th, the low-lying part of the city was flooded. Waves rose 3.5 m (12 feet) above the mean sea level. Even on the l0th, the sea continued to advance and retreat at least 30 m (100 feet). (reference #415)",,1615,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=1257","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1075",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-82.23,9.33,6022,5984,2202,1991,4,22,1991/04/22,0,0,0,0,0,0,F,9.33,-82.23,POINT(-82.23 9.33),ISLA DE CARENERO,,PANAMA,74,0,0,150,1,Eyewitness measurement,0,1,Limited (<$1 million),0,0,,0,0,,0,2,Some (~51 to 100 houses),0,0,,"At Isla de Carenero, 15 to 20 minutes after the earthquake, the seawater withdrew and remained out for a quarter of an hour. The inhabitants fled to more protected islands. 10 to 20 minutes after they departed, a violent wave destroyed dwellings, with ru",,101,74,Caribbean Sea,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=5984","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2202",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-78.62,-8.95,6023,1258,1075,1877,5,10,1877/05/10,0,0,0,0,0,0,,-8.95,-78.62,POINT(-78.62 -8.95),SANTA,,PERU,89,3,3,0,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"At Santa, the sea rose about 3 m (10 feet) above the usual level around 1:00, 3:00, and 7:OO on the 10th. The last of these waves was the highest. (reference #415)",,1644,89,West Coast of South America,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=1258","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=1075",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
-79.617,9.55,6024,5987,2202,1991,4,22,1991/04/22,0,0,0,0,0,0,,9.55,-79.617,POINT(-79.617 9.55),PORTOBELO,,PANAMA,74,0.6,1,0,1,Eyewitness measurement,0,0,,0,0,,0,0,,0,0,,0,0,,"Tsunami observed, 60 cm.",,379,74,Caribbean Sea,0,false,"http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=10&d=99,185,186,76,78&nd=display&EQ_0=5987","http://www.ngdc.noaa.gov/nndc/struts/results?t=101650&s=9&d=99,91,95,93&nd=display&EQ_0=2202",0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0
